剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,网络节点数,网络边数估计,二值网络密度,平均边权,最大边权,发言轮次,场次数,角色数,角色列表,页数,字符数,文件路径,主角色关系,角色关系集合,主主题,主题集合,闭环ID集合,叙事结构线集合,波动型集合,关系演化结局集合,主闭环ID,主叙事结构线,主波动型,主关系演化结局,公案戏得分,家庭戏得分,江湖戏得分,历史戏得分,神怪戏得分,网络计算方法,数据说明
01002011,梅龙镇,历史戏,27.16,0.6314,0.0,2,1,1.0,0.6314,0.6314,313,2,2,正德帝；李凤姐,9,10463,01000000/01002011_梅龙镇.pdf,亲属关系,亲属关系|权力关系,家庭亲情,家庭亲情|政治权力|战争武略|恩怨报偿|礼教品格,loop-000|loop-001|loop-010|loop-011|loop-005|loop-024|loop-030,平稳型|前锋型|后峰型|多峰型,平稳-循环回归|前锋-先决裂后修补|后峰-压轴报偿|后峰-末端清算|后峰-迟来显义|前锋-开端突发|多峰-连战递进,亲缘团圆|代际和解|名节昭彰|宗族复位|君臣尽忠|主从归顺,loop-000,平稳型,平稳-循环回归,亲缘团圆,1,20,1,51,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002012,白门楼,历史戏,32.81,0.1546,0.3455,17,47,0.3456,0.4475,0.9977,156,9,17,吕布；貂蝉；曹操；刘备；陈宫；张飞；曹洪；李典；乐进；许褚；众人；小太监；张辽；马夫；龙套；关羽；龙套甲,8,8468,01000000/01002012_白门楼.pdf,权力关系,权力关系|冲突关系|亲属关系,战争武略,战争武略|政治权力|家庭亲情|恩怨报偿|善恶转化,loop-030|loop-031|loop-025|loop-026|loop-049|loop-056|loop-059|loop-001,多峰型|中峰型|后峰型|平稳型|前锋型,多峰-连战递进|中峰-中段征战|中峰-中段计谋|后峰-末端清算|平稳-余波消解|前锋-先决裂后修补,主从归顺|权谋败露|权力更替|敌对和解|善恶翻转|敌对消灭|代际和解,loop-030,多峰型,多峰-连战递进,主从归顺,0,14,7,92,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002013,华容道,历史戏,21.01,0.5702,0.4166,4,6,1.0,0.5702,0.9447,40,1,4,关羽；曹操；许褚；小校,3,3675,01000000/01002013_华容道.pdf,冲突关系,冲突关系|权力关系|同盟关系,战争武略,战争武略|恩怨报偿|政治权力|除暴侠义|忠义家国,loop-049|loop-050|loop-056|loop-054|loop-052|loop-031|loop-024|loop-027,中峰型|后峰型|多峰型|前锋型,中峰-中段征战|后峰-结尾爆发|后峰-末端清算|多峰-恩怨反复|前锋-开端突发|后峰-迟来显义,敌对和解|复仇完成|善恶翻转|权谋败露|君臣尽忠|权力更替,loop-049,中峰型,中峰-中段征战,敌对和解,1,5,6,69,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002014,宇宙锋,历史戏,24.16,0.3814,0.372,6,11,0.7333,0.52,1.0,101,2,6,赵艳容；赵高；秦王；门官；丫鬟；丫头,4,4617,01000000/01002014_宇宙锋.pdf,权力关系,权力关系|亲属关系,政治权力,政治权力|家庭亲情|战争武略|礼教品格|恩怨报偿,loop-024|loop-025|loop-030|loop-031|loop-002|loop-005|loop-010,前锋型|中峰型|多峰型|后峰型,前锋-开端突发|中峰-中段计谋|多峰-连战递进|中峰-中段征战|后峰-终局和解|后峰-迟来显义|后峰-压轴报偿,君臣尽忠|权力更替|主从归顺|权谋败露|亲情牺牲|宗族复位|名节昭彰,loop-024,前锋型,前锋-开端突发,君臣尽忠,0,23,0,64,6,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002015,取帅印,历史戏,29.15,0.2996,0.2971,8,22,0.7857,0.3813,0.9252,149,3,8,秦琼；程咬金；秦怀玉；尉迟恭；旗牌；院子；李世民；徐勣,9,10448,01000000/01002015_取帅印.pdf,亲属关系,亲属关系|权力关系|冲突关系,家庭亲情,家庭亲情|政治权力|战争武略|恩怨报偿|礼教品格,loop-001|loop-002|loop-011|loop-009|loop-004|loop-026|loop-032|loop-050,前锋型|后峰型|多峰型|中峰型,前锋-先决裂后修补|后峰-终局和解|后峰-末端清算|多峰-恩怨反复|中峰-中段伦理压迫|后峰-结尾爆发,代际和解|亲情牺牲|亲缘团圆|宗族复位|主从归顺|功名显达|复仇完成,loop-001,前锋型,前锋-先决裂后修补,代际和解,1,36,0,55,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002016,打渔杀家,家庭戏,35.58,0.2111,0.4296,14,44,0.4835,0.4365,1.0,434,6,14,萧恩；萧桂英；大教师；李俊；倪荣；郭先生；丁郎；李倪；丁员外；四家丁；四教师；家丁；衙役；吕子秋,13,15304,01000000/01002016_打渔杀家.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|恩怨报偿|礼教品格,loop-002|loop-000|loop-010|loop-011|loop-005,后峰型|平稳型,后峰-终局和解|平稳-循环回归|后峰-压轴报偿|后峰-末端清算|后峰-迟来显义,亲情牺牲|亲缘团圆|名节昭彰|宗族复位,loop-002,后峰型,后峰-终局和解,亲情牺牲,0,48,8,7,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002017,黑风帕,历史戏,29.66,0.2291,0.4526,7,12,0.5714,0.4009,0.9048,270,6,7,高旺；杨八妹；高来；张保；鞑婆；张兰英；四青袍,10,11360,01000000/01002017_黑风帕.pdf,亲属关系,亲属关系|冲突关系,战争武略,战争武略|家庭亲情|恩怨报偿|礼教品格|忠义家国,loop-000|loop-001|loop-011|loop-009|loop-004|loop-048|loop-056,平稳型|前锋型|后峰型|多峰型|中峰型,平稳-循环回归|前锋-先决裂后修补|后峰-末端清算|多峰-恩怨反复|中峰-中段伦理压迫|多峰-连战递进,亲缘团圆|代际和解|宗族复位|亲情牺牲|敌对消灭|善恶翻转,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,45,5,67,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002018,目莲救母,神怪戏,21.49,0.4683,0.3567,4,6,1.0,0.4683,0.9373,55,1,4,刘清提；目莲；大鬼；小鬼,3,3697,01000000/01002018_目莲救母.pdf,亲属关系,亲属关系|权力关系,家庭亲情,家庭亲情|恩怨报偿|战争武略|政治权力|公案冤狱,loop-002|loop-000|loop-011|loop-009|loop-030|loop-026|loop-035,后峰型|平稳型|多峰型,后峰-终局和解|平稳-循环回归|后峰-末端清算|多峰-恩怨反复|多峰-连战递进,亲情牺牲|亲缘团圆|宗族复位|主从归顺|君臣尽忠,loop-002,后峰型,后峰-终局和解,亲情牺牲,6,82,0,24,100,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002019,红鸾禧,家庭戏,27.21,0.4214,0.3858,6,12,0.8,0.5268,1.0,185,3,6,金玉奴；莫稽；金松；二杆；天喜星；众人,6,8296,01000000/01002019_红鸾禧.pdf,亲属关系,亲属关系|婚恋关系,家庭亲情,家庭亲情|文人世情|恩怨报偿|婚恋姻缘|礼教品格,loop-001|loop-002|loop-010|loop-011|loop-004|loop-017|loop-021|loop-014,前锋型|后峰型|中峰型|平稳型|多峰型,前锋-先决裂后修补|后峰-终局和解|后峰-压轴报偿|后峰-末端清算|中峰-中段伦理压迫|平稳-中段微折|多峰-离合循环,代际和解|亲情牺牲|名节昭彰|亲缘团圆|贞节守义|夫妻重圆,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,26,1,12,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002020,白状元祭塔,家庭戏,19.2,0.5943,0.4135,3,3,1.0,0.5943,0.8569,31,2,3,白素贞；许仕林；塔神,3,2732,01000000/01002020_白状元祭塔.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|恩怨报偿|礼教品格|忠义家国,loop-001|loop-002|loop-010|loop-011|loop-004,前锋型|后峰型|中峰型,前锋-先决裂后修补|后峰-终局和解|后峰-压轴报偿|后峰-末端清算|中峰-中段伦理压迫,代际和解|亲情牺牲|名节昭彰|亲缘团圆,loop-001,前锋型,前锋-先决裂后修补,代际和解,11,103,1,12,23,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01003001,琼林宴【前本】,家庭戏,30.41,0.1811,0.4295,10,21,0.4667,0.388,0.9936,230,5,10,范仲禹；葛登云；樵夫；葛虎；报禄甲；报禄乙；土地；家院；四青袍；杀神,8,10507,01000000/01003001_琼林宴【前本】.pdf,亲属关系,亲属关系|冲突关系|审判与恩怨关系,家庭亲情,家庭亲情|恩怨报偿|战争武略|公案冤狱|除暴侠义,loop-002|loop-000|loop-010|loop-011|loop-055|loop-050|loop-052|loop-065,后峰型|平稳型|中峰型,后峰-终局和解|平稳-循环回归|后峰-压轴报偿|后峰-末端清算|后峰-结尾爆发|中峰-中段征战,亲情牺牲|亲缘团圆|名节昭彰|阵营转投|复仇完成|因果报应,loop-002,后峰型,后峰-终局和解,亲情牺牲,12,30,20,21,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01003002,群英会,历史戏,38.83,0.2232,0.464,18,72,0.4706,0.4744,1.0,422,8,18,诸葛亮；周瑜；鲁肃；蒋干；曹操；黄盖；甘宁；蔡中；蔡和；蔡瑁；张允；太史慈；阚泽；四白龙套；众将；众人；二水手；四龙套,15,17562,01000000/01003002_群英会.pdf,冲突关系,冲突关系|亲属关系|同盟关系,战争武略,战争武略|家庭亲情|政治权力|善恶转化|除暴侠义,loop-049|loop-050|loop-058|loop-059|loop-052|loop-001|loop-041|loop-045,中峰型|后峰型|平稳型|前锋型,中峰-中段征战|后峰-结尾爆发|后峰-后段反转|平稳-余波消解|前锋-先决裂后修补|前锋-开端突发,敌对和解|复仇完成|善恶翻转|敌对消灭|代际和解|阵营转投,loop-049,中峰型,中峰-中段征战,敌对和解,0,8,14,72,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01003003,桑园会,家庭戏,26.06,0.6173,0.1534,3,3,1.0,0.6173,0.7094,134,4,3,秋胡；罗氏；秋母,8,9877,01000000/01003003_桑园会.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|礼教品格|恩怨报偿|忠义家国,loop-002|loop-000|loop-004|loop-005|loop-010,后峰型|平稳型|中峰型,后峰-终局和解|平稳-循环回归|中峰-中段伦理压迫|后峰-迟来显义|后峰-压轴报偿,亲情牺牲|亲缘团圆|宗族复位|名节昭彰,loop-002,后峰型,后峰-终局和解,亲情牺牲,1,51,1,14,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01003005,拾黄金,历史戏,16.22,0.0,0.0,1,0,0.0,0.0,0.0,3,1,1,范陶,3,3719,01000000/01003005_拾黄金.pdf,亲属关系,亲属关系|权力关系|婚恋关系,家庭亲情,家庭亲情|礼教品格|政治权力|战争武略|文人世情,loop-000|loop-001|loop-003|loop-004|loop-024|loop-031|loop-015|loop-019,平稳型|前锋型|中峰型,平稳-循环回归|前锋-先决裂后修补|平稳-低振守常|中峰-中段伦理压迫|前锋-开端突发|中峰-中段征战,亲缘团圆|代际和解|亲情牺牲|君臣尽忠|权谋败露|婚恋错失|贞节守义,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,34,21,36,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01003006,辕门斩子,家庭戏,29.98,0.3517,0.4343,9,26,0.7222,0.4869,0.9997,193,1,9,杨延昭；焦赞；孟良；佘太君；赵德芳；杨宗保；穆桂英；穆瓜；众人,9,10175,01000000/01003006_辕门斩子.pdf,亲属关系,亲属关系|权力关系,家庭亲情,家庭亲情|战争武略|政治权力|恩怨报偿|公案冤狱,loop-002|loop-000|loop-011|loop-009|loop-031|loop-024|loop-033,后峰型|平稳型|多峰型|中峰型|前锋型,后峰-终局和解|平稳-循环回归|后峰-末端清算|多峰-恩怨反复|中峰-中段征战|前锋-开端突发|中峰-中段审判,亲情牺牲|亲缘团圆|宗族复位|权谋败露|君臣尽忠,loop-002,后峰型,后峰-终局和解,亲情牺牲,1,50,11,50,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01003008,断太后,历史戏,24.84,0.3992,0.4186,6,12,0.8,0.499,0.9996,88,4,6,李后；包拯；地方；马汉；王朝；众人,5,5783,01000000/01003008_断太后.pdf,权力关系,权力关系|亲属关系,政治权力,政治权力|公案冤狱|家庭亲情|战争武略|恩怨报偿,loop-025|loop-026|loop-034|loop-035|loop-031|loop-001|loop-009,中峰型|后峰型|多峰型|前锋型,中峰-中段计谋|后峰-末端清算|多峰-审断反复|中峰-中段征战|前锋-先决裂后修补|多峰-恩怨反复,权力更替|主从归顺|功名显达|君臣尽忠|权谋败露|代际和解|宗族复位,loop-025,中峰型,中峰-中段计谋,权力更替,70,27,1,73,19,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01003009,打龙袍,历史戏,29.15,0.216,0.5181,12,31,0.4697,0.4599,1.0,122,6,12,李后；包拯；宋仁宗；灯官；王延龄；陈琳；太监；四大铠；郭槐；皇后；众人；内侍,6,7180,01000000/01003009_打龙袍.pdf,权力关系,权力关系|亲属关系,政治权力,政治权力|家庭亲情|公案冤狱|礼教品格|恩怨报偿,loop-025|loop-026|loop-033|loop-034|loop-001|loop-003|loop-010,中峰型|后峰型|多峰型|前锋型|平稳型,中峰-中段计谋|后峰-末端清算|中峰-中段审判|多峰-审断反复|前锋-先决裂后修补|平稳-低振守常|后峰-压轴报偿,权力更替|主从归顺|权谋败露|功名显达|代际和解|名节昭彰,loop-025,中峰型,中峰-中段计谋,权力更替,49,44,0,73,6,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
